Gene_name	score
SUN2	1.05701626807813
JAK1	1.04547353290148
CCND3	1.04148827874161
CHMP5	1.02958636691628
RNF4	1.02912086804223
ZDHHC2	1.02852785119721
DDA1	1.00679058074639
UBE3B	1.00618801043684
SLC36A1	1.00103063637335
RTN4	0.985387053038484
NCF1B	0.981501482180952
CHMP3	0.971247095738046
GLUL	0.955364700190286
ST7	0.951173090489953
HNRNPH3	0.948961296571604
ARL8A	0.943932905852586
ATP11B	0.943800773897849
MAN1B1	0.940665525883276
RPS21	0.940231068262071
RNF14	0.92599409884146
ZCCHC10	0.917438865850905
ANXA1	0.900880872407665
PDLIM2	0.886077889741447
WARS	0.880023546993642
TTYH3	0.878947075496038
FCGR2B	0.878650032262045
COX20	0.864575466201285
MYO1C	0.862204343674535
CALM3	0.839120583894111
SPART	0.836012462450424
LSM8	0.829089091128141
PPP1R15A	0.813693727768918
LITAF	0.809090313054534
TUBA4A	0.807765827094158
TRAFD1	0.784464471064368
TM9SF2	0.776111739264454
DOK2	0.768349011170267
LITAF	0.762330619744396
C6orf106	0.747052278432646
PHF1	0.743957202011555
CLTC	0.743407648941203
CNTRL	0.742048656539845
RAB5B	0.734967298943638
RAB27A	0.732826309600251
ADAT3	0.732164868929279
NBPF14	0.731700536792345
RABIF	0.727392832718768
CDYL2	0.725597861478098
MGST3	0.722037157835108
RABGAP1	0.720853353794213
WRB	0.720120553422754
ALDH9A1	0.706673939939492
TMEM230	0.699904056154507
HEXA	0.698045904149189
CERS5	0.692088527727089
SDCCAG8	0.683674236176695
DECR1	0.682328629909278
DOK2	0.67578483461069
DDA1	0.675699248991104
SMAP2	0.664253845171245
FERMT3	0.663895685730666
M6PR	0.662178575294054
TTC9C	0.659197282684846
DCTN4	0.657813326195667
LMO2	0.64674790181469
TOLLIP	0.644583639097555
SLC2A1	0.618112035655084
RAB12	0.616174812687807
HEXA	0.615251473860166
LRCH4	0.61374139354754
PRC1	0.591074931380042
CXCR2	0.589705160911023
ATP6V1E1	0.584625700200753
SMIM3	0.577498125153148
TTC39C	0.57078852280811
CCDC50	0.567000110429739
CLTA	0.557134051056111
NUB1	0.553312883240899
NDFIP1	0.514643536983989
FOPNL	0.511485903487746
CNOT11	0.50509864882055
TXNIP	0.502891016508963
SON	0.499103526724396
GYG1	0.492656371122653
RNF185	0.472058399291766
SUMF1	0.471319386557873
GNAI2	0.453383250498818
H2AFV	0.44774935240765
RAC2	0.427417171258532
NAPA	0.426771893959353
SCAMP2	0.412366923285911
VTI1B	0.393497105338577
SNRPB2	0.377845264622044
ADD1	0.358325901825052
INPP5D	0.340256634621708
RNF114	0.324540252105512
MZT2A	-0.381474766694489
VARS	-0.392842296167671
GAS5	-0.40205555840017
GCSH	-0.405489486736613
ACY1	-0.427479795220059
CKAP4	-0.427672108630128
FUOM	-0.433615019802527
COTL1	-0.440714626789578
HMGB1P5	-0.449601923340497
ANKRD27	-0.457349038602403
RTL6	-0.475984681112461
ATRIP	-0.477307189779668
FTSJ1	-0.480967826113304
PGP	-0.4858540908697
GNL3	-0.486999499397717
CBR1	-0.495159134865342
MX2	-0.495242419031838
NTHL1	-0.497040588280088
SNHG7	-0.502227593538152
TWNK	-0.513269580708383
NABP2	-0.522635307394427
TOP1MT	-0.524742583871643
RBM10	-0.526341021699614
SNHG8	-0.526817026760106
PATZ1	-0.527462045326588
REXO4	-0.529227814293668
GOLM1	-0.536416428135017
MACROD1	-0.537616363366981
RNF167	-0.539266414326149
CMSS1	-0.539800949774674
ABHD14B	-0.542097293706543
COA7	-0.550325290286105
MZT2B	-0.554655013538545
FAM120AOS	-0.557036659882845
ACOT7	-0.55786930434927
KATNB1	-0.559494448082517
RRP1B	-0.561454088386687
RPL13	-0.567048812785605
CAD	-0.573596655228869
RPS8	-0.590585040558119
SLC35F2	-0.591651948379453
PSMG1	-0.596942917674072
SOX12	-0.605370143298783
C6orf89	-0.610317479311135
PRR11	-0.615016196319014
GCAT	-0.616258953964315
METTL26	-0.632978285130625
MARCKSL1	-0.633920241986892
MYC	-0.648339895981719
RPL31	-0.649119407710321
ERGIC1	-0.651208085927757
CD4	-0.652287968912085
NIT2	-0.654374427742408
NPM3	-0.657988386791427
NCS1	-0.671020369415375
PSPC1	-0.675975984223224
LIG3	-0.685907723352765
IPO4	-0.686436698451941
MTHFD1	-0.689551938263928
PUS1	-0.698007599916633
MLST8	-0.705698701000073
NSMF	-0.70984187057646
RPL13	-0.712983606095586
LZTR1	-0.722570065064295
FRMD4A	-0.728717987109355
RHOF	-0.731487422123133
SLC25A10	-0.735788473401172
GOT2	-0.745536696650212
DEAF1	-0.759309709898802
GPC3	-0.760321468877806
UBN1	-0.76660753259121
EIF4B	-0.766846386494514
SORD	-0.789105216183548
INTS3	-0.794815175088794
ZDHHC8	-0.80304294722992
SLC17A9	-0.807290028839562
PTPRN2	-0.807830266733136
PLXNA1	-0.8093665609773
PUS7	-0.816828158444708
PRR7	-0.847150124346647
HLA-F	-0.862959899594615
KPNA3	-0.886625708645194
SRP19	-0.902505033633675
YDJC	-0.921251610432091
C9orf3	-0.923525742518778
MBTPS2	-0.936694940381334
LENG9	-0.940667713297015
GART	-0.948738948470865
TBC1D5	-0.954297862993017
LRFN1	-0.959449194827211
IMPDH2	-0.974380725860992
PDZD8	-1.00925094790478
CDCA7	-1.01718105767263
SORD	-1.0232655156107
ZBTB12	-1.02340671824975
ZFP36L2	-1.02961010949809
UCP2	-1.02975207945591
ACTR3B	-1.03558880305065
PATZ1	-1.03692146665147
WDR54	-1.04288209101008
MFNG	-1.04904737385991
STEAP3	-1.06726810202654
HPDL	-1.10047570916283
SLC9A3R2	-1.10168310955698
CABIN1	-1.11488668982578
CCDC28B	-1.12898146957657
FKBP11	-1.12955272081472
SNHG5	-1.13769635171561
PRXL2B	-1.14957667325379
ALDOC	-1.17108472164514
MZT2B	-1.17574284726641
EEF1E1	-1.17664781550421
PDCD5	-1.18792205898484
IGFBP4	-1.19293469133851
NDUFA8	-1.24462407871148
B4GAT1	-1.24706740473721
TRIM4	-1.29024371489098
CTXN1	-1.29705552442382
ALDH1B1	-1.31228418307808
SV2A	-1.36737564881392
RNA5-8SN2	-1.37467655992386
SLC39A10	-1.40798330519327
CCDC86	-1.44679430318668
GAMT	-1.48609086253027
CD320	-1.48744685384992
LGR4	-1.52505261063496
NUDT16	-1.52783046430315
RPL22L1	-1.55076629399219
FADS1	-1.55359443371467
MTFP1	-1.56274909498899
SYNGR2	-1.72640995826867
PRXL2B	-1.75168561263271
FADS2	-1.75688624926614
MRAS	-1.7636096143891
MTFP1	-1.76580450472533
STAC3	-1.77067274282169
CD70	-1.7924296286339
TTC38	-1.83116588250095
PRR7	-1.84030469868281
CGNL1	-1.88207236975641
NDUFB10	-1.88552968954504
RPL22	-1.88948097202506
SLC27A5	-1.90029685231519
ELANE	-1.9086433914359
OSR2	-1.94159633451422
ASS1	-1.97765999562799
BEX3	-1.99600243340559
BEX3	-2.02329955633401
RAC3	-2.07316799536484
PDZD8	-2.0802143444024
SAPCD2	-2.12097653362698
ANXA11	-2.12565146317305
METRN	-2.15965363915803
RPL22L1	-2.20744154092291
SLC25A23	-2.21637705305485
RAC3	-2.22752013432944
MRAS	-2.23174997139038
CGREF1	-2.2350617872781
MRAS	-2.25433703244746
SLC38A5	-2.26200339833044
PALD1	-2.26414594175166
SLAIN1	-2.31364578961009
CDCA7	-2.61960139898622
MYCBP	-2.65151632800551
APCDD1	-2.70982925341967
SYNGR2	-2.72568525359949
METRN	-2.75654550379528
MYCBP	-2.79301303498522
NEFH	-2.79951203577645
CPNE7	-2.99123056828748
COL8A2	-3.03311057560489
METRN	-3.08202882782167
AKR1B1	-3.16931408375182
COPZ2	-3.17003615233127
FADS1	-3.33020860827626
CERS1	-3.36373179752177
FBP1	-3.45272380059149
SEPT5	-3.51211727911766
AACS	-3.69999953810887
ELFN1-AS1	-3.97791476382853
CPNE7	-4.04630705194341
CDHR1	-4.2397379208915
CDHR1	-4.43041269066214
APCDD1	-4.48193206895346
APCDD1	-4.69543127890336
APCDD1	-4.72582389653917
NID1	-4.7810249955428
EEF1A2	-5.38682200045802
GAL	-5.72744350074719
FBXO11	-6.00596218819402
CDC42EP1	-6.07134432005476
G0S2	-6.18824284801714
EEF1A2	-6.76563935051643
CHST13	-6.86933000922847
OBSL1	-7.17971960417935
HSD11B1	-7.88707447000855
HSD11B1	-8.34411402220544
TSPAN4	-9.2506947022181
MT1A	-10.1352830327668
CARD9	-13.5918466019051
