NAME	DESCRIPTION	A54933	A54934	A54935	A54936	A54937	A54938
SH3BP4	na	0.7099	0.7753	0.5335	3.3888	3.1811	3.9726
CAB39	na	32.6706	30.6372	33.9358	33.8519	33.2995	33.9616
TMEM177	na	4.5556	4.7413	4.554	4.5377	4.1863	4.2517
AFF3	na	16.3523	11.5252	15.5926	14.2028	17.5002	12.6373
LIPT1	na	2.6769	2.3552	2.2716	2.3531	2.8349	2.1299
TRAF3IP3	na	12.0429	14.3175	12.7922	11.6178	10.7465	10.888
ACTR1B	na	26.2741	27.287	26.7782	26.6329	24.9164	26.0383
HHAT	na	0.3499	0.387	0.3689	0.4279	0.4384	0.3824
RCOR3	na	4.3951	4.3499	4.6373	4.4179	5.1857	4.4119
CNNM4	na	2.9013	3.1401	3.3682	2.9781	2.4259	3.0594
SLC30A1	na	3.1746	3.094	3.8832	3.9978	3.6534	3.8264
ARID5A	na	12.2518	11.8435	11.0202	12.5613	12.4275	11.474
INTS7	na	16.3661	19.4757	17.8489	16.2515	14.0212	14.2913
UGGT1	na	17.6238	18.1061	17.3377	16.4899	16.4203	15.991
DTL	na	13.4152	13.3573	14.1067	12.6068	11.9757	11.4296
NENF	na	43.4283	36.502	39.4059	44.6706	45.6771	43.0448
FAM168B	na	28.8527	29.2043	30.389	31.7024	32.6714	30.8374
ARHGEF4	na	2.1339	1.8401	2.0807	1.9615	2.1939	1.9084
VASH2	na	0.354	0.4256	0.3434	0.408	0.3373	0.402
IFI16	na	0.153	0.3508	0.1724	1.7479	3.0072	2.4999
AIM2	na	11.3861	12.5538	12.0543	13.7073	14.1212	13.4029
ACKR1	na	4.8164	4.9584	6.8936	9.9737	12.6782	11.6347
IGSF9	na	0.2295	0.1677	0.2284	0.833	0.7355	0.828
IGSF8	na	20.145	23.2089	19.546	19.6048	15.113	19.3202
TMEM237	na	10.0346	9.9312	10.0221	7.9724	8.7378	8.5862
CD84	na	15.9196	12.6761	19.5191	17.1579	22.2767	18.4482
FAM126B	na	1.3015	0.9837	1.2088	0.8567	0.9576	0.9795
SLAMF7	na	1.9248	1.4673	1.3501	2.431	1.9598	2.3781
F11R	na	12.158	10.0343	14.7912	22.893	30.5218	27.9261
C2orf69	na	2.1761	2.2242	2.283	2.2271	2.5124	2.527
SATB2	na	0.0669	0.1066	0.108	0.0687	0.0828	0.1087
PLCL1	na	0.1819	0.3053	0.2031	0.3134	0.448	0.3503
PCP4L1	na	14.0173	12.6366	15.9841	11.8727	14.9121	11.9333
OLFML2B	na	3.9618	5.0163	2.6599	2.5459	1.6277	2.8398
NOS1AP	na	1.9347	1.3806	1.6701	1.3637	1.5203	1.314
DOCK10	na	19.3579	18.9248	19.9752	22.9763	22.5831	21.0563
DEGS1	na	30.6557	36.1121	30.3966	39.842	31.676	38.6761
DSEL	na	0.4291	0.4505	0.4338	0.4966	0.499	0.6048
WDR26	na	18.7474	18.8741	20.1226	23.8298	24.3319	24.1048
EPHX1	na	2.4002	2.7163	2.8454	2.4539	2.9441	2.5042
LEFTY1	na	1.2229	0.7017	1.1848	1.0058	1.551	1.3526
SDE2	na	15.2805	15.0766	15.364	15.1685	17.5308	15.6519
ITPKB	na	7.5596	7.462	8.4467	8.8562	10.4442	9.2701
ZCCHC2	na	5.6458	6.1792	6.3216	6.6191	7.3178	6.5137
SCCPDH	na	3.7626	3.2512	3.715	4.5511	5.4825	4.5203
CNST	na	3.2814	3.3051	4.1903	2.9459	2.5359	2.3604
GPATCH2	na	1.8774	1.9992	1.9603	2.2714	2.5389	2.2936
LYPLAL1	na	1.7784	1.5578	1.6535	2.4461	2.1643	2.4135
RAB3GAP2	na	14.4896	15.2987	15.6999	14.2595	15.4467	13.825
SMARCAL1	na	8.6956	8.0402	8.5322	7.759	8.8868	7.8966
HLX	na	10.3556	11.2257	9.2297	12.4925	13.1748	15.5411
DUSP10	na	1.6318	1.2127	1.7984	1.2929	1.4867	1.4382
MREG	na	1.8892	2.0864	1.6579	0.5965	0.1995	0.6035
HNRNPU	na	78.878	91.2216	83.6818	84.6698	75.6169	77.1963
EXO1	na	6.4139	8.0543	6.5586	6.0936	4.626	5.0211
KMO	na	1.0206	1.5844	1.1639	0.6924	0.865	0.786
IFI16	na	6.8809	6.7616	7.0327	14.7322	18.2405	15.9066
GORAB	na	4.0381	3.6054	3.8449	4.2554	3.7504	3.9134
PRRC2C	na	16.4336	16.201	17.2854	18.2507	21.5639	15.9702
SUCO	na	5.0737	5.1606	5.7425	6.4384	7.4441	6.7597
RC3H1	na	2.4145	2.749	2.6112	2.9747	2.7701	2.7515
POGK	na	2.6433	2.8979	2.9297	3.2684	2.9117	2.8778
PPIP5K2	na	4.0952	3.8742	4.4595	4.5218	4.7885	4.1541
ST8SIA4	na	9.9985	8.1637	9.3813	9.9337	14.2593	11.2026
CREG1	na	159.298	140.0935	157.3869	146.8234	156.9114	155.2063
RCSD1	na	46.1729	46.1115	43.7799	41.816	43.1102	39.9819
COP1	na	4.1798	4.1707	4.248	4.891	4.5534	4.5696
GPR161	na	0.1197	0.105	0.1178	0.1428	0.1205	0.0781
TIPRL	na	26.5174	25.1385	25.8699	29.2276	30.521	27.6926
SFT2D2	na	20.0574	18.6096	20.1967	27.5341	34.5515	28.5438
INO80D	na	4.8086	4.5695	4.8479	3.9424	3.7867	3.6954
SLC19A2	na	4.2231	4.5405	5.0804	5.0648	6.1059	4.6077
FAM117B	na	8.9274	7.7851	9.0648	9.9014	12.7357	10.7396
FZD7	na	4.2339	3.9137	4.3168	3.9958	6.8237	5.1183
GTF3C3	na	5.2457	5.3812	5.2431	6.0742	7.2155	5.6201
METTL18	na	5.2534	6.0523	6.204	4.3846	4.6061	4.7999
C1orf112	na	6.4735	7.8487	6.6352	6.61	6.1545	5.6808
HIBCH	na	16.9295	14.84	16.6776	15.3116	18.3713	15.1475
MFSD6	na	5.4458	5.4277	5.9012	6.9451	6.8972	6.9364
ZNF281	na	4.0118	3.6457	4.48	5.9214	5.9377	5.679
KIF14	na	2.5129	2.6642	2.5397	2.1075	2.4828	2.216
CAMSAP2	na	0.5862	0.7107	0.4539	0.9304	0.8298	0.8885
KIF21B	na	13.2049	12.922	13.9743	14.8669	17.5387	15.2281
BIVM-ERCC5	na	4.4449	4.1396	4.2983	3.9796	5.128	4.0665
PLEKHA6	na	1.8463	1.4927	1.4607	1.3135	2.3666	1.5956
TPP2	na	17.5964	16.885	17.7562	22.7699	21.8037	21.1906
TRAM2	na	2.5524	2.7703	2.5406	2.561	2.7779	2.4754
PHLDA3	na	8.1566	5.5296	10.3188	6.4742	9.8851	7.3935
EFHC1	na	0.3657	0.2275	0.4782	0.5765	0.9256	0.5517
MCM3	na	156.7721	161.5587	149.9462	129.3268	106.7981	112.2256
IPO9	na	11.9829	13.2965	12.7347	13.396	12.0607	12.151
RNPEP	na	32.039	40.2674	29.0119	36.1677	31.0284	38.9324
MFSD9	na	0.5105	0.5763	0.7233	0.8703	1.1415	0.876
DSTYK	na	1.8836	2.0156	2.0744	2.2427	2.6313	2.1676
TMCC2	na	1.6899	1.3871	2.1644	1.6807	1.8778	1.6175
CCDC115	na	48.7668	50.6614	45.4204	41.9693	39.9804	41.293
ZNF451	na	2.0606	1.9862	2.2238	2.091	2.2557	1.9369
KDM5B	na	8.7162	6.7236	8.0817	9.8813	14.7337	9.797
BAG2	na	18.2592	19.2375	17.6542	17.8431	17.0247	16.1093
RABIF	na	17.5765	19.2181	19.0578	20.8815	18.5182	18.8908
PM20D1	na	0.053	0.0281	0.0298	0.2453	0.3194	0.4416
SLC26A9	na	1.2653	1.2256	1.0836	0.6668	0.6734	0.7631
TMEM183A	na	18.1873	22.0472	19.9198	18.8696	16.6649	18.3617
IKBKE	na	15.1842	16.2424	15.8826	26.6839	23.9337	27.0394
MYBPH	na	0.1195	0.1506	0.0879	0.2454	0.1579	0.1322
C1orf116	na	0.4157	0.3239	0.6791	0.498	0.4962	0.4461
RGS8	na	0.1721	0.2659	0.1784	0.1074	0.0597	0.0656
NPL	na	29.4358	30.3902	34.2485	19.0331	17.0071	18.4138
DHX9	na	42.6172	52.1707	48.0147	46.6111	35.8568	39.53
SHCBP1L	na	0.2056	0.2922	0.2582	0.3135	0.3406	0.2582
NMNAT2	na	0.5153	0.288	0.8389	0.3824	0.4377	0.4153
SMG7	na	11.0822	13.7829	12.2034	12.4201	10.9564	11.0829
AIDA	na	9.1296	9.7674	9.7125	10.7334	10.5253	10.8586
NEMP2	na	4.1829	4.8498	4.3647	3.7716	5.0783	3.8548
EDEM3	na	4.3999	4.1825	5.2201	4.8932	5.2278	4.8578
IFI16	na	1.5794	1.5062	1.146	2.851	3.875	3.9176
ZBTB37	na	0.5053	0.5207	0.4211	0.4611	0.4723	0.4929
C2orf88	na	0.1301	0.0841	0.1198	0.132	0.1563	0.0825
OTOS	na	1.4175	1.6898	1.3965	0.8261	0.7028	0.9241
ACKR3	na	0.3161	0.1564	0.2666	0.2377	0.3258	0.3494
PHLPP1	na	1.8759	1.7619	1.9237	2.1734	2.8108	2.2706
C5orf30	na	7.9798	8.5907	7.2241	9.2674	8.4729	9.3328
HJURP	na	38.8422	46.8987	39.7669	31.4939	35.3759	29.802
C2orf80	na	0.3464	0.2491	0.3108	0.2812	0.2518	0.2066
FZD5	na	0.3962	0.447	0.3755	0.388	0.427	0.4085
VCPIP1	na	4.0531	4.0679	4.6557	4.9349	5.4926	5.1616
HS6ST1	na	12.1297	10.8255	12.1995	15.7936	17.5988	17.034
KLHDC9	na	1.7746	1.1614	1.1133	1.0241	1.5514	1.2413
CXCR4	na	95.8288	84.3331	87.0408	61.3464	60.0601	51.9987
PID1	na	1.6763	1.7032	1.4213	1.6716	1.3743	2.0511
CAVIN2	na	13.3571	8.5841	20.7907	8.0166	9.4951	8.4235
PPP1R15B	na	19.2271	20.0036	20.5835	19.8644	18.4341	19.0651
RPL37A	na	553.6312	503.6439	526.8723	457.0897	445.8863	469.1783
FAM178B	na	0.1062	0.0876	0.1583	0.2403	0.1648	0.2739
YOD1	na	1.4244	1.5975	1.606	1.3195	1.3769	1.3548
BROX	na	11.1561	10.8061	11.2508	12.8984	13.7415	13.5644
MARS2	na	5.3826	6.4804	5.8635	4.9561	4.5265	4.5833
DUSP28	na	7.2698	6.7198	6.9026	5.6992	5.6298	4.7561
NEURL3	na	37.266	33.4624	40.7045	62.0475	67.9268	68.0013
ERFE	na	1.0267	0.9548	0.8835	0.7627	0.3886	0.6057
FBXO28	na	6.6105	6.9729	7.3509	6.9191	7.2433	6.45
SNED1	na	0.1732	0.2558	0.2182	0.1779	0.1735	0.1648
GIGYF2	na	5.0393	5.2618	5.3181	5.1999	5.5509	5.1835
TMEM81	na	3.1945	2.9477	3.0092	2.8948	3.0505	2.8791
RNF149	na	29.6133	33.5113	30.6745	51.7334	50.5614	58.8758
CXCR1	na	1.5205	1.1217	2.5312	1.3998	1.4913	1.147
TYW5	na	1.6734	2.0946	1.9071	2.3224	1.8429	2.1371
ARHGAP30	na	27.9905	31.0833	27.6531	35.9105	33.4048	33.3674
PHF3	na	11.0516	10.8021	11.7665	11.3753	12.8884	10.8608
RETREG2	na	45.5227	47.5743	47.2174	41.0275	46.2645	43.0858
RD3	na	0.0472	0.0234	0.031	0.2452	0.2631	0.1789
CYP20A1	na	9.9327	11.793	10.5197	10.7999	9.2755	11.3559
ESPNL	na	0.1748	0.2208	0.2304	0.1596	0.141	0.1725
GPR55	na	0.1482	0.1173	0.1301	0.2196	0.1631	0.1532
ARL4C	na	6.9589	8.003	7.6858	7.807	9.5138	9.2357
PIGM	na	5.2914	6.4301	6.3714	6.1039	5.1826	5.5821
TOR1AIP2	na	6.5776	6.8928	7.0772	8.144	8.4195	8.7245
TMEM37	na	4.7027	5.0486	4.766	7.2942	9.4544	10.6871
CREG2	na	0.2461	0.3868	0.3277	0.4827	0.6885	0.7675
FAM174A	na	16.8144	13.6294	16.1389	17.3493	19.8931	21.0378
BZW1	na	45.5192	52.0515	48.426	49.8643	42.5054	46.4051
PCMTD1	na	3.9113	3.1101	4.5041	5.5289	6.2958	5.9676
PLEKHM3	na	1.0938	1.1409	0.9601	1.2232	1.194	1.1386
LAX1	na	2.5761	2.4253	1.92	1.5519	1.4938	1.3483
PARD3B	na	0.2713	0.2387	0.3452	0.3092	0.404	0.331
ANKRD44	na	3.9013	3.9471	4.0232	3.7127	3.956	3.519
B4GALT3	na	8.783	9.18	8.2913	7.6536	7.7236	8.0752
TMCO1	na	22.4737	19.869	23.4109	21.4065	22.0137	22.188
PBX1	na	4.0742	3.1387	6.0272	4.4211	6.2207	4.7801
RAB7B	na	13.4385	12.183	11.2951	12.2125	14.8604	12.6837
SWT1	na	1.5735	1.5939	1.6829	1.6847	1.7392	1.7815
GPR25	na	0.3857	0.1907	0.2867	5.2316	5.6212	6.0159
TRMT1L	na	13.3098	14.043	13.9124	12.0168	12.7815	11.8037
SLAMF8	na	0.4282	0.5804	0.4129	0.5543	0.4243	0.5577
DIS3L2	na	8.516	8.6919	9.106	8.671	8.836	8.7345
USP21	na	9.488	9.557	9.2067	9.4417	9.3969	9.0358
MNDA	na	0.2093	0.3831	0.2149	0.3735	0.7594	0.4839
MDM4	na	9.709	11.2644	12.0923	10.8345	13.0006	11.3885
UGT1A6	na	30.4758	29.7033	26.3235	28.8047	32.5017	29.2454
AP1S3	na	3.095	2.7161	2.9499	3.5618	3.6448	4.0353
KCTD18	na	1.3259	1.583	1.5879	1.3304	1.5719	1.3981
AGAP1	na	2.5136	2.5775	2.5719	1.9803	2.0006	1.7626
SMYD3	na	5.4493	4.8198	5.0035	4.3107	4.8031	4.2456
FAM72B	na	3.0712	3.3816	3.3193	3.2047	2.8675	3.7066
TNS1	na	3.6331	2.6654	4.4847	2.4565	3.3985	2.1378
PER2	na	1.5741	1.3848	1.4907	0.9531	0.8213	0.803
MIA3	na	10.8795	11.7344	11.5785	10.7908	10.6715	11.1651
R3HDM1	na	25.0822	23.1689	25.3452	25.5432	28.7373	24.6661
PLA2G4A	na	12.0966	11.8493	13.5771	14.6844	14.8026	14.0145
DENND1B	na	1.2709	1.2281	1.3622	1.3886	1.5464	1.5278
PIGN	na	6.885	6.605	7.8981	7.7277	7.9015	7.3241
MPZ	na	0.1715	0.2207	0.274	0.4537	0.4026	0.4531
IER5	na	7.0541	7.6273	6.9958	9.8584	11.7476	11.58
CSPP1	na	1.7952	2.2195	2.1498	2.0735	2.112	1.9739
GULP1	na	0.1335	0.1683	0.1452	0.2276	0.282	0.2847
BCL2	na	8.4509	9.2773	9.6719	5.4515	5.2682	5.4259
CEP170	na	4.6422	4.5796	5.2216	6.1742	8.1499	6.6087
UXS1	na	4.8208	5.3597	5.1197	5.1416	4.8697	4.6904
SDHC	na	55.4634	56.1011	53.8999	56.714	53.9764	56.6717
MRPS14	na	19.2299	20.9098	19.1453	17.2293	15.4243	18.1471
TXNDC9	na	8.0404	9.0387	8.5605	9.4355	8.3504	9.536
FCER1G	na	352.3163	413.5906	364.6668	604.5081	660.2154	720.2058
LIN9	na	3.7048	3.9301	3.648	3.1997	3.4467	3.3123
FCGR3B	na	12.0835	12.7283	10.832	70.2935	86.86	96.3576
FCGR2A	na	224.6967	213.0683	207.6563	181.7888	209.304	208.3238
ALYREF	na	7.1353	6.9541	7.1382	8.7949	9.2501	8.3837
TOR3A	na	12.9772	12.9756	12.529	21.0362	20.6617	21.6571
MRPS9	na	47.7628	49.4731	44.2209	45.4885	41.5213	44.4048
H3F3B	na	54.1797	48.1183	51.4352	52.7869	55.0779	56.7843
TSGA10	na	0.4033	0.4774	0.4263	0.5388	0.4677	0.4914
TDRD5	na	0.2757	0.2324	0.3261	0.4828	0.4388	0.428
RRS1	na	36.3495	37.7594	34.5762	36.9229	26.5224	31.8811
COX5B	na	127.1441	149.4474	126.3452	123.9201	100.3822	124.318
RUFY4	na	4.5586	3.5613	5.387	4.7942	6.7131	5.3625
CNIH4	na	13.0372	15.6929	13.92	13.8017	12.8539	13.4579
SERPINB2	na	12.982	9.9397	22.6159	9.0831	9.5184	9.4487
NSL1	na	9.1274	10.3012	8.8814	7.4296	6.4173	6.939
TIMM17A	na	24.2277	26.5653	23.6639	24.8002	18.4736	23.9134
ARMC9	na	0.4638	0.4783	0.5723	0.4221	0.4843	0.4653
PPOX	na	12.696	14.4321	14.2938	12.3576	13.4563	11.9561
STAT4	na	14.6087	12.2637	16.2291	21.2649	29.4377	22.5672
UFC1	na	37.7511	43.9752	38.1684	36.1762	33.5943	36.0005
AOX1	na	0.1682	0.14	0.1198	0.1666	0.242	0.2659
ZBTB18	na	8.8972	9.7028	9.2715	11.4005	12.3446	11.9413
CHI3L1	na	48.0845	48.6186	36.8896	61.5727	66.8394	75.4969
CLASP1	na	8.1746	8.0238	8.0074	8.6491	8.3931	7.8392
SNORA41	na	4.129	6.3269	5.6591	5.6359	4.6699	4.5571
SNORD51	na	1.6866	2.7631	1.8565	2.4954	1.4251	2.562
SNORD20	na	0.9514	1.139	1.3059	1.3556	1.1328	0.4945
SNORD82	na	0.1728	0.162	0.1889	0.4357	0	0.2308
SNORA75	na	1.9567	2.2446	4.0107	4.612	3.7098	1.9157
MIR29B2	na	0.2385	0.3878	0.0735	0.1146	0	0
MIR181B1	na	0.2268	0.1574	0	0.0018	0.3629	0.0636
MIR29C	na	0.1833	0.1742	0.2085	0.1356	0.0073	0
FLVCR1	na	6.2588	6.4962	6.1776	6.4213	5.5715	5.3654
MNDA	na	0.0427	0.2171	0.184	1.09	1.458	1.5127
RNASEL	na	17.5854	17.0878	19.0789	19.1519	24.8131	20.1896
NCK2	na	7.2833	6.1786	9.5321	7.0613	7.6471	7.2434
HES6	na	37.327	37.7022	34.4256	28.463	28.8042	27.3807
BMPR2	na	1.9512	1.8533	1.6962	2.7514	3.7982	2.6116
ANKRD23	na	3.7925	3.9518	4.4005	3.3908	2.9829	3.4696
ARFGEF1	na	7.9464	7.6489	8.571	8.6865	9.8763	8.5918
SP110	na	13.0724	12.9751	13.6745	12.0845	11.9836	11.0696
FCRLB	na	0.1328	0.2016	0.2111	0.2414	0.2525	0.2006
RASAL2	na	0.2384	0.2394	0.1604	0.2145	0.2287	0.246
SOX13	na	2.0255	1.7951	2.2503	2.552	2.8053	2.0336
REN	na	0	0	0	0.2846	0.3554	0.3179
RBM44	na	0.128	0.1774	0.1711	0.0817	0.0915	0.1245
DGKD	na	27.658	27.4751	31.1197	29.7347	36.261	29.329
TGFBRAP1	na	6.1634	6.7567	6.8937	6.8185	6.3268	6.7807
IL1RL2	na	1.8706	1.9496	1.4381	3.543	3.5555	3.5336
TAF1A	na	5.6399	6.3537	5.9666	6.0198	4.6486	5.1423
MARC2	na	18.2834	16.3752	17.6007	16.045	15.8223	16.2502
IFI16	na	5.8378	7.7718	6.1198	19.9773	21.4037	22.3342
IFI16	na	5.7035	8.8714	5.9479	18.2325	18.7925	20.3532
MNDA	na	0.0097	0.0182	0.0206	0.2318	0.4068	0.3775
PPP1R12B	na	0.6946	0.7395	0.7759	0.5843	0.5209	0.5627
D2HGDH	na	5.3047	5.3633	5.0846	5.6632	6.1877	5.5666
COPS9	na	30.7	34.1219	31.912	32.0084	29.9285	35.0911
FBXO36	na	1.7953	1.3784	2.1695	1.7955	2.4067	2.0393
WDFY1	na	10.4232	9.5262	11.2378	9.4222	10.6123	9.5954
CATIP	na	0.0959	0.0356	0.0724	0.1122	0.1447	0.1731
NBEAL1	na	0.4027	0.3634	0.4057	0.5306	0.4879	0.5081
PGAP1	na	0.1461	0.1567	0.1577	0.1514	0.1092	0.1503
LMBRD1	na	5.303	5.0561	5.4642	6.9415	6.9963	7.2586
SNORA61	na	0.1213	0.0791	0.0328	0.1169	0	0.106
SNORD70	na	0.3553	0.2178	1.026	0	0.1567	0.1345
SNORD70B	na	3.7602	4.7174	4.0282	6.4709	3.3837	5.6514
SNORD89	na	3.2823	4.093	2.7215	3.2268	2.8391	3.2136
RBM8A	na	0.6654	0.8475	0.9265	0.6607	0.635	0.6939
CHML	na	2.2001	2.1639	2.1389	1.8252	1.8513	1.9301
RPL35	na	291.542	307.3901	296.7302	250.1992	250.6777	261.975
C1orf74	na	2.7147	2.6382	3.1088	2.2641	2.301	2.1819
TLR5	na	0.7192	0.7829	0.4579	0.8243	1.0678	1.0455
C1orf53	na	12.5028	13.2528	12.917	13.2411	12.2887	14.2915
B3GNT7	na	4.6099	4.7053	5.3667	4.9507	7.1012	5.2913
UTP14A	na	2.082	2.43	2.3287	2.7264	2.6237	2.6557
MPP4	na	2.6087	3.0181	2.9976	2.0764	1.5234	1.9683
ANKRD39	na	8.9709	8.7975	7.929	7.72	6.77	7.1726
ELOC	na	38.9257	42.6967	42.7226	47.6143	46.2601	49.016
RNU4ATAC5P	na	0.1344	0.6063	0.681	0.2358	0.2451	0.5088
SCARNA18B	na	0.5775	1.1329	0.6416	0.4497	0.9636	0.8546
SCARNA6	na	0	0.3857	0.3294	0.194	0	0.144
SNORD11B	na	0.5953	0.5663	0.8265	0.2747	1.0119	1.1919
SCARNA3	na	0.006	0	0	0.1758	0.2853	0.4207
UGT1A8	na	70.886	68.9147	60.9302	66.8249	76.1115	67.965
RPS6KC1	na	1.5063	1.5088	1.8089	1.7449	1.7637	1.815
UGT1A3	na	71.6539	69.6601	61.5897	67.5741	76.935	68.6994
UGT1A1	na	71.0825	69.1092	61.1146	66.9957	76.277	68.1042
UGT1A6	na	73.3978	69.4112	63.6027	72.1549	86.4744	74.2021
UGT1A6	na	66.4872	64.5651	57.2143	62.9909	71.6682	64.0513
UGT1A8	na	69.6358	67.6988	59.8553	65.6448	74.7688	66.7664
UGT1A3	na	71.3946	69.4081	61.3668	67.327	76.6566	68.4508
UGT1A8	na	72.0792	70.0736	61.9553	67.9483	77.3917	69.1072
MNDA	na	15.717	16.8244	16.3432	30.9209	39.497	35.2384
KIAA0040	na	3.5263	3.1869	3.2086	3.1669	3.2644	3.0236
SERPINB10	na	9.9729	8.5364	14.2752	6.3242	6.944	6.707
